3050 4030 3
0 126 17.34 26.6
0 2471 7.66 12.86
0 522 2.06 3.8
0 280 7.46 10.73
0 3146 18.99 41.39
1 3599 4.61 6.21
1 1370 6.29 10.37
1 2470 14.26 27.26
1 553 16.14 37.46
1 2985 19.22 44.56
2 3637 13.27 32.34
2 1191 6.85 10.82
2 1770 6.23 13.87
2 429 18.32 39.44
2 4216 14.36 25.06
3 4793 12.86 26.83
3 3423 18.51 37.61
3 4811 0.9 1.11
3 2221 12.25 14.78
3 4511 12.8 21.02
4 2787 6.58 10.58
4 4794 8.34 11.8
4 596 16.08 39.76
4 3503 8.61 20.28
4 4572 10.32 23.43
5 2249 8.98 19.57
5 1833 8.16 14.76
5 319 2.68 4.12
5 1100 14.02 31.55
5 3609 11.3 15.02
6 1386 17.57 43.22
6 4645 5.74 12.32
6 4454 12.4 16.91
6 3599 7.6 13.32
6 3284 19.29 32.72
7 2607 19.49 41.73
7 3206 16.02 33.68
7 3652 2.57 4.81
7 1162 2.62 5.11
7 3182 17.79 39.72
8 3701 10.58 15.76
8 1801 14.48 24.16
8 4663 19.37 43.14
8 4637 17.78 30.82
8 537 17.19 29.6
9 2667 11.1 17.55
9 1648 14.61 27.38
9 3542 16.99 41.86
9 1553 13.71 17.89
9 4736 5.71 6.88
10 3636 6.78 10.14
10 3081 12.91 32.09
10 2272 19.88 48.7
10 2793 6.64 16.13
10 4702 13.1 29.62
11 1844 16.56 30.6
11 2249 1.51 3.66
11 3824 4.47 7.99
11 3700 19.0 32.51
11 362 2.85 3.87
12 708 12.73 31.63
12 4487 8.61 14.92
12 2274 15.5 38.25
12 2342 14.06 23.87
12 1791 18.86 45.86
13 1614 0.64 1.08
13 4514 19.47 43.14
13 4160 11.59 18.43
13 2220 3.58 6.96
13 1641 11.0 14.44
14 2603 17.41 26.4
14 1497 15.73 31.08
14 4774 15.76 21.13
14 2516 16.45 30.08
14 4169 8.23 13.0
15 1603 18.56 39.52
15 4586 5.75 10.64
15 1705 5.62 11.75
15 3937 1.34 2.36
15 2052 16.37 40.35
16 2365 8.6 20.12
16 1981 7.63 9.33
16 4219 7.93 13.71
16 1112 14.06 33.8
